name	description	filename	source_url	language	transcript	transcript_source
龙安欢	欢脱元气女	longanhuan.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longanhuan.mp3	Chinese	你看,我刚从食堂买的豆沙包,还是热乎的,我特意多买了一个给你,甜而不腻,超好吃。对了对了,下午课间咱们一起去操场晒晒太阳吧,今天天气超级好。	Whisper large-v3
龙黛玉	娇率才女音	longdaiyu.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longdaiyu.mp3	Chinese	往日里，哥哥总是忙里偷闲地来敷衍我。谁承想，今儿起了个大早，网也不上了，球也不打了，巴巴地凑了过来。	Whisper large-v3 + manual review
龙应桃	温柔淡定女	longyingtao.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyingtao.mp3	Chinese	因为没有给到我们信息,我们这边也是无法为您查询的。	Whisper large-v3
龙婉君	细腻柔声女	longwanjun.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longwanjun.mp3	Chinese	苏婉坐在窗边，手指轻轻摩挲着那本泛黄的日记。纸页上娟秀的字迹还带着当年的温度。她想起昨天在老宅阁楼里发现它时的场景：日记本被藏在一个旧木盒里，旁边还放着一枚生锈的银簪，簪头刻着小小的“尘”字。	Whisper large-v3 + manual review
龙应笑	清甜推销女	longyingxiao.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyingxiao.mp3	Chinese	您好呀,请问是赵女士吗?我是这个品牌的客服咱们品牌最近推出了一款特别实用的产品特别适合您这样的人群想给您简单介绍一下您看方便吗?	Whisper large-v3
龙悦	温暖磁性女	longyue_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longyue_v2.mp3	Chinese	当笛卡尔的《我思故我在》与庄子的《庄周梦蝶》在空气中交织，思想的火花点燃了声音的舞台。这不是枯燥的说教，而是哲人用声音编织的思维迷宫。	Whisper large-v3 + manual review
龙小夏	沉稳权威女	longxiaoxia_v2.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/cosyvoice-v2/audition/longxiaoxia_v2.mp3	Chinese	我们都能为您提供最贴心的服务,只需简单的语音指令,即可轻松完成操作,让科技真正服务于生活。	Whisper large-v3
龙嫱	浪漫风情女	longqiang_v3.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/timbreList/longqiang_v3.mp3	Chinese	宝儿，今天下班快回来吧，我做了你最爱吃的红烧肉，再不回来，菜都要凉了。	Whisper large-v3 + manual review
龙仙	豪放可爱女	longxian_v3.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/timbreList/longxian_v3.mp3	Chinese	人家真的好想要那个粉色的小兔子包包嘛爸爸最好了肯定会给我买的对不对	Whisper large-v3
龙安台	嗲甜台湾女	longantai_v3.mp3	https://bailian-bmp-pre.oss-cn-hangzhou.aliyuncs.com/public/audio/timbreList/longantai_v3.mp3	Chinese	哎呀,这个东西怎么弄嘛,我研究了半天都没弄明白,你教教我好不好,你好厉害哦,一下子就弄好啦。那你教会我,我请你喝奶茶呀,就是上次你说很好喝的那家。	Whisper large-v3
